BSB	SBBR	Presidente Juscelino Kubitschek International Airport	large_airport	SRID=4326;POINT(-47.920834 -15.869167)	South America	Brazil	BR	Distrito Federal	BR-DF	Brasília	http://www.infraero.gov.br/usa/aero_prev_home.php?ai=146	https://en.wikipedia.org/wiki/Bras%C3%ADlia_International_Airport
SSA	SBSV	Deputado Luiz Eduardo Magalhães International Airport	large_airport	SRID=4326;POINT(-38.322498 -12.908611)	South America	Brazil	BR	Bahia	BR-BA	Salvador	https://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-salvador-dep-luis-eduardo-magalhaes/web	https://en.wikipedia.org/wiki/Deputado_Lu%C3%ADs_Eduardo_Magalh%C3%A3es_International_Airport
FOR	SBFZ	Pinto Martins International Airport	large_airport	SRID=4326;POINT(-38.532222 -3.775833)	South America	Brazil	BR	Ceará	BR-CE	Fortaleza	https://fortaleza-airport.com.br/en	https://en.wikipedia.org/wiki/Pinto_Martins_International_Airport
CNF	SBCF	Tancredo Neves International Airport	large_airport	SRID=4326;POINT(-43.966928 -19.63571)	South America	Brazil	BR	Minas Gerais	BR-MG	Belo Horizonte	http://www.infraero.gov.br/usa/aero_prev_home.php?ai=207	https://en.wikipedia.org/wiki/Belo_Horizonte_International_Airport
MAO	SBEG	Eduardo Gomes International Airport	large_airport	SRID=4326;POINT(-60.049702 -3.03861)	South America	Brazil	BR	Amazonas	BR-AM	Manaus	https://airport-manaus.com.br/	https://en.wikipedia.org/wiki/Eduardo_Gomes_International_Airport
FLN	SBFL	Hercílio Luz International Airport	large_airport	SRID=4326;POINT(-48.552502 -27.670279)	South America	Brazil	BR	Santa Catarina	BR-SC	Florianópolis	http://www.infraero.gov.br/usa/aero_prev_home.php?ai=228	https://en.wikipedia.org/wiki/Herc%C3%ADlio_Luz_International_Airport
BEL	SBBE	Val de Cans/Júlio Cezar Ribeiro International Airport	large_airport	SRID=4326;POINT(-48.476207 -1.379279)	South America	Brazil	BR	Pará	BR-PA	Belém	http://www.infraero.gov.br/index.php/br/aeroportos/para/aeroporto-internacional-de-belem.html	https://en.wikipedia.org/wiki/Val_de_Cans_International_Airport
VIX	SBVT	Eurico de Aguiar Salles Airport	large_airport	SRID=4326;POINT(-40.285 -20.258)	South America	Brazil	BR	Espírito Santo	BR-ES	Vitória	https://vitoria-airport.com.br	https://en.wikipedia.org/wiki/Eurico_de_Aguiar_Salles_Airport
BPS	SBPS	Porto Seguro Airport	large_airport	SRID=4326;POINT(-39.080584 -16.438426)	South America	Brazil	BR	Bahia	BR-BA	Porto Seguro	http://www.aeroportoportoseguro.com.br/	https://en.wikipedia.org/wiki/Porto_Seguro_Airport
BWN	WBSB	Brunei International Airport	large_airport	SRID=4326;POINT(114.928001 4.9442)	Asia	Brunei	BN	Brunei-Muara District	BN-BM	Bandar Seri Begawan		https://en.wikipedia.org/wiki/Brunei_International_Airport
SOF	LBSF	Sofia Airport	large_airport	SRID=4326;POINT(23.417671 42.696357)	Europe	Bulgaria	BG	Sofia City Province	BG-22	Sofia	http://sofia-airport.bg	https://en.wikipedia.org/wiki/Sofia_Airport
BOJ	LBBG	Burgas Airport	large_airport	SRID=4326;POINT(27.515173 42.569917)	Europe	Bulgaria	BG	Burgas Province	BG-02	Burgas		https://en.wikipedia.org/wiki/Burgas_Airport
VAR	LBWN	Varna Airport	large_airport	SRID=4326;POINT(27.8251 43.232101)	Europe	Bulgaria	BG	Varna Province	BG-03	Varna		https://en.wikipedia.org/wiki/Varna_Airport
PNH	VDPP	Phnom Penh International Airport	large_airport	SRID=4326;POINT(104.844002 11.5466)	Asia	Cambodia	KH	Phnom Penh (municipality)	KH-12	Phnom Penh (Pou Senchey)	http://www.cambodia-airports.com/phnompenh/en/	https://en.wikipedia.org/wiki/Phnom_Penh_International_Airport
SAI	VDSA	Siem Reap-Angkor International Airport	large_airport	SRID=4326;POINT(104.223056 13.369167)	Asia	Cambodia	KH	Siem Reap province	KH-17	Siem Reap		https://en.wikipedia.org/wiki/Siem_Reap–Angkor_International_Airport
YYZ	CYYZ	Toronto Lester B. Pearson International Airport	large_airport	SRID=4326;POINT(-79.6306 43.6772)	North America	Canada	CA	Ontario	CA-ON	Toronto	http://www.gtaa.com/	https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport
YVR	CYVR	Vancouver International Airport	large_airport	SRID=4326;POINT(-123.183998108 49.193901062)	North America	Canada	CA	British Columbia	CA-BC	Vancouver	http://www.yvr.ca/	https://en.wikipedia.org/wiki/Vancouver_International_Airport
